"","client","sub","total","year","catcode"
"1774","Bioscrip Inc","Bioscrip Inc",260000,"2007","H4500"
"1775","Kensey Nash Corp","Kensey Nash Corp",20000,"1998","H4100"
"1776","Polymedica Corp","Polymedica Corp",40000,"2003","H4400"
"1777","American Bioindustry Alliance","American Bioindustry Alliance",130000,"2008","H4500"
"1778","Alexion Pharmaceuticals","Alexion Pharmaceuticals",1165000,"2012","H4300"
"1779","Medicines Co","Medicines Co",110000,"2004","H4300"
"1780","Medicines Co","Medicines Co",3700000,"2010","H4300"
"1781","Medicines Co","Medicines Co",170000,"2016","H4300"
"1782","NxStage Medical","NxStage Medical",40000,"2006","H4100"
"1783","Grifols Inc","Grifols Inc",0,"2007","H4500"
"1784","Grifols Inc","Grifols Inc",330000,"2016","H4500"
"1785","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",20000,"2004","H4300"
"1786","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",210000,"2010","H4300"
"1787","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",80000,"2016","H4300"
"1788","Angiodynamics Inc","Angiodynamics Inc",45000,"2006","H4100"
"1789","Arborgen","Arborgen",60000,"2006","H4500"
"1790","CareFusion","CareFusion",90000,"2009","H4100"
"1791","Cell Therapeutics","Cell Therapeutics",40000,"2005","H4500"
"1792","Cellular Bioengineering Inc","Cellular Bioengineering Inc",0,"2011","H4500"
"1793","Academy of Radiology Research","Academy of Radiology Research",1060000,"2006","H4100"
"1794","Accuray Inc","Accuray Inc",60000,"2005","H4100"
"1795","Acorda Therapeutics","Acorda Therapeutics",210000,"2012","H4300"
"1796","Adamas Pharmaceuticals","Adamas Pharmaceuticals",0,"2010","H4300"
"1797","Adamas Pharmaceuticals","Adamas Pharmaceuticals",20000,"2011","H4300"
"1798","Advanced Analytical","Advanced Analytical",120000,"2010","H4100"
"1799","Advanced Analytical","Advanced Analytical",30000,"2011","H4100"
"1800","Polymedica Corp","Polymedica Corp",70000,"2001","H4400"
"1801","Polymedica Corp","Polymedica Corp",0,"2008","H4400"
"1802","Quintiles Transnational","Quintiles Transnational",60000,"2016","H4500"
"1803","Bayer AG","Bayer Corp",7738512,"2009","H4300"
"1804","Roche Holdings","Roche Diagnostics",140000,"2010","H4100"
"1805","Alexion Pharmaceuticals","Alexion Antibody Technologies",40000,"2003","H4300"
"1806","Astellas Pharma","Astellas Pharma USA",2510000,"2015","H4300"
"1807","Cubist Pharmaceuticals","Cubist Pharmaceuticals",0,"2000","H4300"
"1808","Quintiles Transnational","Quintiles Transnational",40000,"2002","H4500"
"1809","Quintiles Transnational","Quintiles Transnational",20000,"2003","H4500"
"1810","Nestle SA","Alcon Laboratories",80000,"2004","H4000"
"1811","Nestle SA","Alcon Laboratories",530000,"2007","H4000"
"1812","Reckitt Benckiser Inc","Reckitt Benckiser Pharmaceuticals",40000,"1999","H4300"
"1813","Bayer AG","Bayer AG",6600,"2014","H4300"
"1814","Roche Holdings","Hoffmann-La Roche",501560,"2012","H4300"
"1815","Roche Holdings","Roche Diagnostics",380000,"2003","H4100"
"1816","Roche Holdings","Roche Diagnostics",295000,"2013","H4100"
"1817","Nestle SA","Nestle HealthCare Nutrition",30000,"2014","H4200"
"1818","Roche Holdings","Roche Diagnostics",275000,"2014","H4100"
"1819","AstraZeneca PLC","Medimmune Inc",855500,"2007","H4300"
"1820","AstraZeneca PLC","Medimmune Inc",1072000,"2009","H4300"
"1821","AstraZeneca PLC","Medimmune Inc",850000,"2012","H4300"
"1822","Ohio Willow Wood","Ohio Willow Wood",40000,"2014","H4100"
"1823","Polymedica Corp","Polymedica Corp",2e+05,"2007","H4400"
"1824","Quintiles Transnational","Quintiles Transnational",40000,"2001","H4500"
"1825","Quintiles Transnational","Quintiles Transnational",120000,"2014","H4500"
"1826","Roche Holdings","Genentech Inc",4895524,"2011","H4500"
"1827","Beiersdorf-Jobst Inc","Beiersdorf-Jobst Inc",0,"1999","H4100"
"1828","AstraZeneca PLC","AstraZeneca Pharmaceuticals",2890000,"2014","H4300"
"1829","Bioscrip Inc","Bioscrip Inc",140000,"2011","H4500"
"1830","Merit Medical Systems","Merit Medical Systems",90000,"2010","H4100"
"1831","Takeda Pharmaceuticals North America","Takeda Pharmaceuticals North America",40000,"2001","H4300"
"1832","Takeda Pharmaceutical Co","Millennium Pharmaceuticals",280000,"2010","H4300"
"1833","Takeda Pharmaceutical Co","Millennium Pharmaceuticals",2e+05,"2011","H4300"
"1834","Takeda Pharmaceutical Co","Takeda Pharmaceuticals North America",9e+05,"2016","H4300"
"1835","Philips Electronics","Philips Medical Systems",1e+05,"2000","H4100"
"1836","Alexion Pharmaceuticals","Alexion Pharmaceuticals",1105000,"2014","H4300"
"1837","Intuitive Surgical","Intuitive Surgical",530000,"2013","H4100"
"1838","MedAssets Inc","MedAssets Inc",40000,"2008","H4100"
"1839","Grifols Inc","Grifols Inc",95000,"2014","H4500"
"1840","Akorn","Akorn",120000,"2008","H4300"
"1841","Aldevron","Aldevron",60000,"2009","H4500"
"1842","Alfred Mann Foundation","Alfred Mann Foundation",340000,"2009","H4500"
"1843","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",110000,"2011","H4300"
"1844","Alpharma Inc","Alpharma Inc",160000,"1999","H4300"
"1845","Polymedica Corp","Polymedica Corp",70000,"2006","H4400"
"1846","Quintiles Transnational","Quintiles Transnational",50000,"1999","H4500"
"1847","Academy of Radiology Research","Academy of Radiology Research",260000,"2012","H4100"
"1848","Achaogen","Achaogen",155000,"2013","H4500"
"1849","Life Technologies Corp","Invitrogen Corp",640000,"2008","H4500"
"1850","Life Technologies Corp","Life Technologies Corp",655000,"2012","H4500"
"1851","Pharma Services Acquisition Corp","Quintiles Transnational",40000,"2011","H4500"
"1852","Cubist Pharmaceuticals","Cubist Pharmaceuticals",0,"2001","H4300"
"1853","Cubist Pharmaceuticals","Cubist Pharmaceuticals",740000,"2010","H4300"
"1854","Intuitive Surgical","Intuitive Surgical",90000,"2016","H4100"
"1855","MedAssets Inc","MedAssets Inc",40000,"2007","H4100"
"1856","Talecris Biotherapeutics","Talecris Biotherapeutics",40000,"2005","H4500"
"1857","Admetech","Admetech",40000,"2012","H4500"
"1858","Aduro BioTech","Aduro BioTech",50000,"2010","H4500"
"1859","Advaxis Inc","Advaxis Inc",60000,"2015","H4500"
"1860","Nestle SA","Alcon Laboratories",180000,"1998","H4000"
"1861","Nestle SA","Alcon Laboratories",2e+05,"2002","H4000"
"1862","Bayer AG","Bayer AG",11000,"2013","H4300"
"1863","Bayer AG","Medrad Inc",1e+05,"2007","H4100"
"1864","Roche Holdings","Roche Diagnostics",520000,"2004","H4100"
"1865","Roche Holdings","Roche Diagnostics",720000,"2007","H4100"
"1866","Roche Holdings","Roche Diagnostics",180000,"2016","H4100"
"1867","OPKO Health","OPKO Health",85000,"2014","H4300"
"1868","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",830000,"2013","H4400"
"1869","Accuray Inc","Accuray Inc",1e+05,"2012","H4100"
"1870","Accuray Inc","Accuray Inc",0,"2013","H4100"
"1871","Adamas Pharmaceuticals","Adamas Pharmaceuticals",140000,"2009","H4300"
"1872","Aduro BioTech","Aduro BioTech",70000,"2015","H4500"
"1873","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",120000,"2012","H4300"
"1874","Aqua Bounty Technologies","Aqua Bounty Technologies",70000,"2012","H4500"
"1875","Arborgen","Arborgen",80000,"2008","H4500"
"1876","Arteriocyte Inc","Arteriocyte Inc",0,"2007","H4100"
"1877","Arteriocyte Inc","Arteriocyte Inc",45000,"2010","H4100"
"1878","Arteriocyte Inc","Arteriocyte Inc",50000,"2011","H4100"
"1879","Invitrogen Corp","Invitrogen Corp",4e+05,"2004","H4500"
"1880","Takeda Pharmaceutical Co","Takeda Pharmaceuticals North America",1290000,"2015","H4300"
"1881","Pharma Services Acquisition Corp","Quintiles Transnational",0,"2007","H4500"
"1882","Alexion Pharmaceuticals","Alexion Pharmaceuticals",921400,"2016","H4300"
"1883","Astellas Pharma","Astellas US Technologies",50000,"2009","H4300"
"1884","Medicines Co","Medicines Co",120000,"2014","H4300"
"1885","NxStage Medical","NxStage Medical",40000,"2002","H4100"
"1886","Grifols Inc","Grifols Inc",1180000,"2012","H4500"
"1887","PharMed Group","PharMed Group",60000,"2005","H4100"
"1888","Chimerix","Chimerix",2e+05,"2007","H4300"
"1889","Arsenal Medical","Arsenal Medical",90000,"2009","H4100"
"1890","AxoGen Inc","AxoGen Inc",114000,"2010","H4500"
"1891","Bavarian Nordic","Bavarian Nordic",520000,"2006","H4300"
"1892","Bioenterprise","Bioenterprise",40000,"2005","H4500"
"1893","Biotech Research & Development Center","Biotech Research & Development Center",137500,"2000","H4500"
"1894","Accentia Biopharmaceuticals","Accentia Biopharmaceuticals",20000,"2011","H4300"
"1895","Bracco Diagnostics","Bracco Diagnostics",0,"1999","H4300"
"1896","Breckenridge Pharmaceutical","Breckenridge Pharmaceutical",60000,"2007","H4300"
"1897","Breckenridge Pharmaceutical","Breckenridge Pharmaceutical",50000,"2009","H4300"
"1898","Bioscrip Inc","Bioscrip Inc",370000,"2009","H4500"
"1899","A Voice for All","A Voice for All",120000,"2007","H4100"
"1900","FujiFilm","Sonosite Inc",120000,"2013","H4100"
"1901","Nestle SA","Alcon Laboratories",2e+05,"2001","H4000"
"1902","Bayer AG","Bayer Corp",4940000,"2013","H4300"
"1903","Life Technologies Corp","Life Technologies Corp",940000,"2009","H4500"
"1904","Takeda Pharmaceutical Co","Takeda Pharmaceuticals North America",1452475,"2012","H4300"
"1905","Nu Skin Enterprises","Nu Skin International",80000,"1998","H4200"
"1906","Perrigo Co","Perrigo Co",72000,"2008","H4300"
"1907","Perrigo Co","Perrigo Co",430000,"2015","H4300"
"1908","Jazz Pharmaceuticals","Jazz Pharmaceuticals",360000,"2012","H4300"
"1909","Invitrogen Corp","Invitrogen Corp",340000,"2005","H4500"
"1910","Eisai Co Ltd","Eisai Inc",2410000,"2012","H4300"
"1911","Alexion Pharmaceuticals","Alexion Pharmaceuticals",1200000,"2015","H4300"
"1912","Life Technologies Corp","Life Technologies Corp",80000,"2014","H4500"
"1913","Life Technologies Corp","Life Technologies Corp",90000,"2015","H4500"
"1914","Takeda Pharmaceutical Co","Millennium Pharmaceuticals",594000,"2008","H4300"
"1915","Philips Electronics","Philips Medical Systems",24000,"2006","H4100"
"1916","Par Pharmaceutical Companies","Strativa Pharmaceuticals",20000,"2010","H4300"
"1917","Accuray Inc","Accuray Inc",160000,"2010","H4100"
"1918","Accuray Inc","Accuray Inc",90000,"2016","H4100"
"1919","Acorda Therapeutics","Acorda Therapeutics",210000,"2011","H4300"
"1920","Admetech","Admetech",160000,"2008","H4500"
"1921","Adroit Medical Systems","Adroit Medical Systems",0,"2011","H4100"
"1922","Aduro BioTech","Aduro BioTech",40000,"2012","H4500"
"1923","Advanced Analytical","Advanced Analytical",40000,"2006","H4100"
"1924","Advanced Analytical","Advanced Analytical",120000,"2007","H4100"
"1925","Advanced Init in Medical Simulation","Advanced Init in Medical Simulation",60000,"2008","H4000"
"1926","Zoll Medical","Zoll Medical",80000,"2015","H4100"
"1927","Ablitech Inc","Ablitech Inc                            ",50000,"2010","H4500"
"1928","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",521777,"2007","H4400"
"1929","Admetech","Admetech",120000,"2000","H4500"
"1930","Admetech","Admetech",0,"2013","H4500"
"1931","Aduro BioTech","Aduro BioTech",40000,"2011","H4500"
"1932","Affymax Inc","Affymax Inc",260000,"2009","H4500"
"1933","American Bioindustry Alliance","American Bioindustry Alliance",190000,"2006","H4500"
"1934","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",466000,"2008","H4400"
"1935","Academy of Radiology Research","Academy of Radiology Research",260000,"2011","H4100"
"1936","Achaogen","Achaogen",120000,"2008","H4500"
"1937","Acorda Therapeutics","Acorda Therapeutics",67500,"2016","H4300"
"1938","Advaxis Inc","Advaxis Inc",40000,"2010","H4500"
"1939","Agennix Inc","Agennix Inc",20000,"2009","H4500"
"1940","Alatech Healthcare","Alatech Healthcare",60000,"2006","H4200"
"1941","Alatech Healthcare","Alatech Healthcare",1e+05,"2007","H4200"
"1942","Nestle SA","Alcon Laboratories",2e+05,"2000","H4000"
"1943","Bayer AG","Bayer Corp",6322430,"2008","H4300"
"1944","Bayer AG","Medrad Inc",2e+05,"2006","H4100"
"1945","Roche Holdings","Hoffmann-La Roche",511400,"2014","H4300"
"1946","Roche Holdings","Hoffmann-La Roche",466620,"2015","H4300"
"1947","Roche Holdings","Roche Diagnostics",5e+05,"2006","H4100"
"1948","Roche Holdings","Roche Diagnostics",160000,"2011","H4100"
"1949","Jazz Pharmaceuticals","Jazz Pharmaceuticals",480000,"2015","H4300"
"1950","Abraxis BioScience","Abraxis BioScience",90000,"2009","H4500"
"1951","American Bioindustry Alliance","American Bioindustry Alliance",35000,"2009","H4500"
"1952","Bayer AG","Bayer Healthcare",420000,"2009","H4000"
"1953","Roche Holdings","Hoffmann-La Roche",5037516,"2009","H4300"
"1954","Roche Holdings","Hoffmann-La Roche",506000,"2013","H4300"
"1955","Roche Holdings","Roche Diagnostics",220000,"2002","H4100"
"1956","Roche Holdings","Roche Diagnostics",270000,"2012","H4100"
"1957","Beiersdorf-Jobst Inc","Beiersdorf-Jobst Inc",0,"2001","H4100"
"1958","Jazz Pharmaceuticals","Jazz Pharmaceuticals",360000,"2016","H4300"
"1959","Life Technologies Corp","Applied Biosystems",20000,"2008","H4500"
"1960","Life Technologies Corp","Life Technologies Corp",340000,"2013","H4500"
"1961","Takeda Pharmaceutical Co","Millennium Pharmaceuticals",360000,"2009","H4300"
"1962","Eisai Co Ltd","Eisai Inc",168000,"2006","H4300"
"1963","Eisai Co Ltd","Eisai Inc",450000,"2007","H4300"
"1964","Eisai Co Ltd","Eisai Inc",1610000,"2016","H4300"
"1965","Alexion Pharmaceuticals","Alexion Pharmaceuticals",380000,"2010","H4300"
"1966","Alexion Pharmaceuticals","Alexion Pharmaceuticals",420000,"2011","H4300"
"1967","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",1e+05,"2015","H4300"
"1968","Analogic Corp","Analogic Corp",160000,"2006","H4100"
"1969","Analogic Corp","Analogic Corp",2e+05,"2007","H4100"
"1970","Angiodynamics Inc","Angiodynamics Inc",25000,"2005","H4100"
"1971","Roche Holdings","Hoffmann-La Roche",5712772,"2008","H4300"
"1972","Roche Holdings","Roche Diagnostics",4e+05,"2005","H4100"
"1973","AstraZeneca PLC","AstraZeneca Pharmaceuticals",3960000,"2011","H4300"
"1974","Advanced Life Sciences","Advanced Life Sciences",40000,"2007","H4300"
"1975","Bayer AG","Bayer Corp",5370321,"2012","H4300"
"1976","Bayer AG","Bayer Healthcare",50000,"2014","H4000"
"1977","Roche Holdings","Genentech Inc",2710000,"2009","H4500"
"1978","Roche Holdings","Roche Diagnostics",120000,"2001","H4100"
"1979","Bavarian Nordic","Bavarian Nordic",660000,"2005","H4300"
"1980","Bioprotection Systems","Bioprotection Systems",90000,"2009","H4500"
"1981","Biotech Research & Development Center","Biotech Research & Development Center",160000,"2010","H4500"
"1982","Biotech Research & Development Center","Biotech Research & Development Center",90000,"2011","H4500"
"1983","Body Media","Body Media",40000,"2006","H4100"
"1984","Body Media","Body Media",40000,"2007","H4100"
"1985","Bracco Diagnostics","Bracco Diagnostics",360000,"2010","H4300"
"1986","Bracco Diagnostics","Bracco Diagnostics",360000,"2011","H4300"
"1987","Affymax Inc","Affymax Inc",360000,"2011","H4500"
"1988","Agios Pharmaceuticals","Agios Pharmaceuticals",0,"2012","H4300"
"1989","Akorn","Akorn",120000,"2005","H4300"
"1990","Akorn","Akorn",20000,"2012","H4300"
"1991","Nestle SA","Alcon Laboratories",2e+05,"1999","H4000"
"1992","CardioNet","CardioNet",120000,"2008","H4100"
"1993","Cellerant Therapeutics","Cellerant Therapeutics",20000,"2007","H4500"
"1994","Cempra Pharmaceuticals","Cempra Pharmaceuticals",0,"2010","H4300"
"1995","Cempra Pharmaceuticals","Cempra Pharmaceuticals",130000,"2016","H4300"
"1996","Cerus Corp","Cerus Corp",80000,"2012","H4500"
"1997","Admetech","Admetech",80000,"2006","H4500"
"1998","Admetech","Admetech",90000,"2009","H4500"
"1999","Advanced Init in Medical Simulation","Advanced Init in Medical Simulation",0,"2006","H4000"
"2000","Advanced Life Sciences","Advanced Life Sciences",70000,"2009","H4300"
"2001","Aethon Inc","Aethon Inc",10000,"2012","H4100"
"2002","Affymax Inc","Affymax Inc",440000,"2012","H4500"
"2003","Affymax Inc","Affymax Inc",70000,"2013","H4500"
"2004","Akrimax Pharmaceuticals","Akrimax Pharmaceuticals",10000,"2009","H4300"
"2005","Perrigo Co","Perrigo Co",40000,"1999","H4300"
"2006","Perrigo Co","Perrigo Co",248000,"2011","H4300"
"2007","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",40000,"2004","H4300"
"2008","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",2e+05,"2007","H4300"
"2009","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",2e+05,"2009","H4300"
"2010","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",90000,"2016","H4300"
"2011","American Bioindustry Alliance","American Bioindustry Alliance",1e+05,"2005","H4500"
"2012","Jazz Pharmaceuticals","Jazz Pharmaceuticals",480000,"2014","H4300"
"2013","Pharma Services Acquisition Corp","Quintiles Transnational",0,"2008","H4500"
"2014","Alexion Pharmaceuticals","Alexion Pharmaceuticals",20000,"2008","H4300"
"2015","Astellas Pharma","Astellas Pharma USA",80000,"2005","H4300"
"2016","Eisai Co Ltd","Eisai Inc",1285000,"2008","H4300"
"2017","Intuitive Surgical","Intuitive Surgical",265000,"2014","H4100"
"2018","MedAssets Inc","MedAssets Inc",20000,"2000","H4100"
"2019","Grifols Inc","Grifols Inc",0,"2006","H4500"
"2020","Grifols Inc","Grifols Inc",2e+05,"2009","H4500"
"2021","Talecris Biotherapeutics","Talecris Biotherapeutics",480000,"2006","H4500"
"2022","Zoll Medical","Zoll Medical",30000,"2006","H4100"
"2023","3-V Biosciences","3-V Biosciences",1e+05,"2010","H4300"
"2024","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",2e+05,"2005","H4400"
"2025","Academy of Radiology Research","Academy of Radiology Research",98000,"2015","H4100"
"2026","Acorda Therapeutics","Acorda Therapeutics",180000,"2008","H4300"
"2027","FujiFilm","Sonosite Inc",1e+05,"2014","H4100"
"2028","FujiFilm","Sonosite Inc",80000,"2015","H4100"
"2029","Alexion Pharmaceuticals","Alexion Pharmaceuticals",1e+06,"2013","H4300"
"2030","Medicines Co","Medicines Co",980000,"2011","H4300"
"2031","Grifols Inc","Grifols Inc",2e+05,"2010","H4500"
"2032","Grifols Inc","Grifols Inc",525000,"2011","H4500"
"2033","Zoll Medical","Zoll Medical",90000,"2005","H4100"
"2034","FujiFilm","Sonosite Inc",90000,"2016","H4100"
"2035","Bayer AG","Bayer Healthcare",310000,"2012","H4000"
"2036","Bayer AG","Conceptus Inc",22000,"2013","H4100"
"2037","Roche Holdings","Genentech Inc",4922368,"2010","H4500"
"2038","Roche Holdings","Roche Diagnostics",222000,"2009","H4100"
"2039","AstraZeneca PLC","AstraZeneca Pharmaceuticals",4860000,"2009","H4300"
"2040","AstraZeneca PLC","Medimmune Inc",856000,"2008","H4300"
"2041","Immunex Corp","Immunex Corp",3e+05,"2001","H4300"
"2042","Bioscrip Inc","Bioscrip Inc",167500,"2006","H4500"
"2043","Kensey Nash Corp","Kensey Nash Corp",0,"2001","H4100"
"2044","Ablitech Inc","Ablitech Inc                            ",20000,"2011","H4500"
"2045","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",2e+05,"2004","H4400"
"2046","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",677000,"2010","H4400"
"2047","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",768000,"2011","H4400"
"2048","Academy of Managed Care Pharmacies","Academy of Managed Care Pharmacies",515000,"2016","H4400"
"2049","Achaogen","Achaogen",20000,"2005","H4500"
"2050","Admetech","Admetech",0,"1998","H4500"
"2051","Admetech","Admetech",40000,"2003","H4500"
"2052","Aethon Inc","Aethon Inc",20000,"2009","H4100"
"2053","Agennix Inc","Agennix Inc",140000,"2007","H4500"
"2054","Agios Pharmaceuticals","Agios Pharmaceuticals",90000,"2009","H4300"
"2055","Alatech Healthcare","Alatech Healthcare",0,"2010","H4200"
"2056","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",360000,"2008","H4300"
"2057","Analogic Corp","Analogic Corp",160000,"2009","H4100"
"2058","Apotex Inc","Apotex Inc",102200,"2006","H4300"
"2059","Apotex Inc","Apotex Inc",368300,"2007","H4300"
"2060","Arborgen","Arborgen",80000,"2009","H4500"
"2061","Arena Pharmaceuticals","Arena Pharmaceuticals",0,"2010","H4500"
"2062","Cubist Pharmaceuticals","Cubist Pharmaceuticals",1160000,"2011","H4300"
"2063","Intuitive Surgical","Intuitive Surgical",470000,"2011","H4100"
"2064","MedAssets Inc","MedAssets Inc",0,"2006","H4100"
"2065","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",177562,"2015","H4300"
"2066","America's Specialty Medicine Companies","America's Specialty Medicine Companies",150000,"2008","H4300"
"2067","America's Specialty Medicine Companies","America's Specialty Medicine Companies",240000,"2010","H4300"
"2068","America's Specialty Medicine Companies","America's Specialty Medicine Companies",2e+05,"2011","H4300"
"2069","Cangene Corp","Cangene Corp",240000,"2007","H4500"
"2070","Cangene Corp","Cangene Corp",220000,"2010","H4500"
"2071","Abraxis BioScience","Abraxis BioScience",40000,"2008","H4500"
"2072","Kensey Nash Corp","Kensey Nash Corp",0,"1999","H4100"
"2073","Abraxis BioScience","Abraxis BioScience",180000,"2010","H4500"
"2074","Assn of Clinical Research Organizations","Assn of Clinical Research Organizations",40000,"2002","H4300"
"2075","Assn of Clinical Research Organizations","Assn of Clinical Research Organizations",235000,"2013","H4300"
"2076","Apotex Inc","Apotex Inc",65000,"2003","H4300"
"2077","Apotex Inc","Apotex Inc",570000,"2012","H4300"
"2078","Aqua Bounty Technologies","Aqua Bounty Technologies",40000,"2011","H4500"
"2079","ARCA Biopharma","ARCA Biopharma",30000,"2009","H4300"
"2080","Amphastar Pharmaceuticals","Amphastar Pharmaceuticals",40000,"2005","H4300"
"2081","Zoll Medical","Zoll Medical",120000,"2004","H4100"
"2082","A Voice for All","A Voice for All",70000,"2008","H4100"
"2083","Academy of Radiology Research","Academy of Radiology Research",140000,"2008","H4100"
"2084","Accuray Inc","Accuray Inc",170000,"2014","H4100"
"2085","Admetech","Admetech",60000,"2004","H4500"
"2086","Admetech","Admetech",180000,"2007","H4500"
"2087","Advanced Init in Medical Simulation","Advanced Init in Medical Simulation",20000,"2010","H4000"
"2088","Alpharma Inc","Alpharma Inc",1e+05,"2000","H4300"
"2089","Takeda Pharmaceutical Co","Takeda Pharmaceuticals North America",1681094,"2010","H4300"
"2090","Alexion Pharmaceuticals","Alexion Antibody Technologies",40000,"2004","H4300"
"2091","Alexion Pharmaceuticals","Alexion Pharmaceuticals",210000,"2009","H4300"
"2092","Astellas Pharma","Astellas Pharma USA",40000,"2006","H4300"
"2093","Cubist Pharmaceuticals","Cubist Pharmaceuticals",240000,"2007","H4300"
"2094","Talecris Biotherapeutics","Talecris Biotherapeutics",920000,"2011","H4500"
"2095","Generic Pharmaceutical Assn","Generic Pharmaceutical Assn",818128,"2007","H4300"
"2096","Generic Pharmaceutical Assn","Generic Pharmaceutical Assn",2178807,"2009","H4300"
"2097","Genzyme Corp","Genzyme Corp",2736115,"2008","H4500"
"2098","Gilead Sciences","Gilead Sciences",2e+05,"2002","H4500"
"2099","Gilead Sciences","Gilead Sciences",2e+05,"2003","H4500"
"2100","Life Technologies Corp","Life Technologies Corp",940000,"2010","H4500"
"2101","Life Technologies Corp","Life Technologies Corp",7e+05,"2011","H4500"
"2102","Philips","Philips Healthcare",150000,"2015","H4100"
"2103","Philips Electronics","Philips Medical Systems",24000,"2008","H4100"
"2104","Astellas Pharma","Astellas Pharma USA",2220000,"2012","H4300"
"2105","Astellas Pharma","Astellas Pharma USA",1960000,"2013","H4300"
"2106","Intuitive Surgical","Intuitive Surgical",160000,"2015","H4100"
"2107","Athena ISG/GTXtreme","Athena ISG/GTXtreme",0,"2012","H4000"
"2108","Bavarian Nordic","Bavarian Nordic",2e+05,"2004","H4300"
"2109","Bavarian Nordic","Bavarian Nordic",112000,"2007","H4300"
"2110","Bavarian Nordic","Bavarian Nordic",530000,"2010","H4300"
"2111","Bavarian Nordic","Bavarian Nordic",541000,"2016","H4300"
"2112","Bayer AG","Bayer Corp",4208640,"2010","H4300"
"2113","Bayer AG","Bayer Corp",5760000,"2011","H4300"
"2114","Bayer AG","Bayer Corp",5880000,"2016","H4300"
"2115","Bayer AG","Medrad Inc",120000,"2012","H4100"
"2116","Roche Holdings","Genentech Inc",4167517,"2014","H4500"
"2117","AstraZeneca PLC","AstraZeneca Pharmaceuticals",4080000,"2007","H4300"
"2118","AstraZeneca PLC","Medimmune Inc",1230000,"2010","H4300"
"2119","Merit Medical Systems","Merit Medical Systems",0,"2016","H4100"
"2120","Takeda Pharmaceutical Co","Takeda Pharmaceuticals North America",1620000,"2011","H4300"
"2121","Eisai Co Ltd","Eisai Inc",18750,"2005","H4300"
"2122","Secant Pharma","Enteron Therapeutics",20000,"2009","H4300"
"2123","3-V Biosciences","3-V Biosciences",2e+05,"2009","H4300"
"2124","Achaogen","Achaogen",40000,"2006","H4500"
"2125","Admetech","Admetech",20000,"1999","H4500"
"2126","Aduro BioTech","Aduro BioTech",40000,"2014","H4500"
"2127","Kinetic Concepts","Kinetic Concepts",260000,"2005","H4100"
"2128","Kinetic Concepts","Lifecell Corp",150000,"2014","H4100"
"2129","Mylan Inc","Mylan Inc",1500000,"2010","H4300"
"2130","Bioprotection Systems","Bioprotection Systems",80000,"2010","H4500"
"2131","Bioquiddity Inc","Bioquiddity Inc",40000,"2006","H4100"
"2132","Blood Cell Storage Inc","Blood Cell Storage Inc",30000,"2012","H4100"
"2133","Body Media","Body Media",30000,"2011","H4100"
"2134","Cubist Pharmaceuticals","Cubist Pharmaceuticals",40000,"2006","H4300"
"2135","Cubist Pharmaceuticals","Cubist Pharmaceuticals",1400000,"2013","H4300"
"2136","NxStage Medical","NxStage Medical",16136,"2012","H4100"
"2137","Alatech Healthcare","Alatech Healthcare",0,"2003","H4200"
"2138","Alatech Healthcare","Alatech Healthcare",40000,"2005","H4200"
"2139","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals",2e+05,"2008","H4300"
"2140","Alfred Mann Foundation","Alfred Mann Foundation",1e+05,"2008","H4500"
"2141","Alfred Mann Foundation","Alfred Mann Foundation",320000,"2011","H4500"
"2142","AlgiPharma AS","AlgiPharma AS",20000,"2009","H4000"
"2143","Cellular Bioengineering Inc","Cellular Bioengineering Inc",0,"2012","H4500"
"2144","Centurion Medical Products","Centurion Medical Products",2e+05,"2009","H4100"
"2145","Cerus Corp","Cerus Corp",80000,"2011","H4500"
"2146","Jazz Pharmaceuticals","Jazz Pharmaceuticals",10000,"2011","H4300"
"2147","Invitrogen Corp","Invitrogen Corp",420000,"2006","H4500"
"2148","Pharma Services Acquisition Corp","Quintiles Transnational",40000,"2010","H4500"
"2149","Eisai Co Ltd","Eisai Inc",3560000,"2010","H4300"
"2150","Eisai Co Ltd","Eisai Inc",2715000,"2011","H4300"
"2151","Astellas Pharma","Astellas Pharma USA",1810000,"2014","H4300"
"2152","Intuitive Surgical","Intuitive Surgical",245000,"2010","H4100"
