A,B,C,D,E,F
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],D07917  Esomeprazole (INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],D01984  Esomeprazole magnesium (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],D04056  Esomeprazole sodium (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],D09339  Esomeprazole potassium (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC05 Esomeprazole [DG:DG00023],D10120  Esomeprazole strontium (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC06 Dexlansoprazole,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC06 Dexlansoprazole,D08903  Dexlansoprazole (INN/USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,A02BC07 Dexrabeprazole,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,"A02BC53 Lansoprazole, combinations",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC Proton pump inhibitors,"A02BC54 Rabeprazole, combinations",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD01 Omeprazole, amoxicillin and metronidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD02 Lansoprazole, tetracycline and metronidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD03 Lansoprazole, amoxicillin and metronidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD03 Lansoprazole, amoxicillin and metronidazole",D09742  Lansoprazole - amoxicillin hydrate - metronidazole mixt
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD04 Pantoprazole, amoxicillin and clarithromycin",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD05 Omeprazole, amoxicillin and clarithromycin",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD05 Omeprazole, amoxicillin and clarithromycin",D10246  Omeprazole - clarithromycin - amoxicillin mixt
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD06 Esomeprazole, amoxicillin and clarithromycin",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD07 Lansoprazole, amoxicillin and clarithromycin",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD07 Lansoprazole, amoxicillin and clarithromycin",D08774  Amoxicillin hydrate - clarithromycin - lansoprazole mixt
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD08 Bismuth subcitrate, tetracycline and metronidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD08 Bismuth subcitrate, tetracycline and metronidazole",D10245  Bismuth subcitrate - tetracycline - metronidazole mixt
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD09 Lansoprazole, clarithromycin and tinidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD10 Lansoprazole, amoxicillin and levofloxacin",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD Combinations for eradication of Helicobacter pylori,"A02BD11 Pantoprazole, amoxicillin clarithromycin and metronidazole",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX01 Carbenoxolone [DG:DG00024],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX01 Carbenoxolone [DG:DG00024],D07615  Carbenoxolone (INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX01 Carbenoxolone [DG:DG00024],D01899  Carbenoxolone sodium (JAN/USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX02 Sucralfate [DG:DG00025],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX02 Sucralfate [DG:DG00025],C07314  Sucralfate
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX02 Sucralfate [DG:DG00025],D00446  Sucralfate (USP/INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX03 Pirenzepine [DG:DG00026],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX03 Pirenzepine [DG:DG00026],D08389  Pirenzepine (INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX03 Pirenzepine [DG:DG00026],D01297  Pirenzepine hydrochloride (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX03 Pirenzepine [DG:DG00026],D05276  Pirenzepine hydrochloride hydrate (JP17)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX04 Methiosulfonium chloride,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX04 Methiosulfonium chloride,D00177  Methylmethionine sulfonium chloride (JAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX05 Bismuth subcitrate [DG:DG00027],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX05 Bismuth subcitrate [DG:DG00027],D07587  Bismuth subcitrate
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX05 Bismuth subcitrate [DG:DG00027],D09739  Bismuth subcitrate potassium (USAN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX06 Proglumide,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX06 Proglumide,D01818  Proglumide (JP17/USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX07 Gefarnate,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX07 Gefarnate,D01529  Gefarnate (JP17/INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX08 Sulglicotide,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX08 Sulglicotide,D08546  Sulglicotide (INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX09 Acetoxolone,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX09 Acetoxolone,C17734  Acetoxolone
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX10 Zolimidine,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX10 Zolimidine,D07075  Zolimidine (INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX11 Troxipide,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX11 Troxipide,D01306  Troxipide (JP17/INN)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX12 Bismuth subnitrate,
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX12 Bismuth subnitrate,D01642  Bismuth subnitrate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX13 Alginic acid [DG:DG00028],
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX13 Alginic acid [DG:DG00028],D02324  Alginic acid (NF)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX13 Alginic acid [DG:DG00028],D03336  Sodium alginate (JAN/NF)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX13 Alginic acid [DG:DG00028],D08977  Potassium alginate (NF)
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"A02BX51 Carbenoxolone, combinations excl. psycholeptics",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"A02BX71 Carbenoxolone, combinations with psycholeptics",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BX Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"A02BX77 Gefarnate, combinations with psycholeptics",
ALIMENTARY TRACT AND METABOLISM,A02 DRUGS FOR ACID RELATED DISORDERS,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,,,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA01 Oxyphencyclimine [DG:DG00029],
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA01 Oxyphencyclimine [DG:DG00029],D08325  Oxyphencyclimine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA01 Oxyphencyclimine [DG:DG00029],D01006  Oxyphencyclimine hydrochloride (JAN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA03 Camylofin,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA03 Camylofin,D07076  Camylofin (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA04 Mebeverine [DG:DG00030],
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA04 Mebeverine [DG:DG00030],D08160  Mebeverine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA04 Mebeverine [DG:DG00030],D04868  Mebeverine hydrochloride (USAN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA05 Trimebutine [DG:DG00031],
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA05 Trimebutine [DG:DG00031],D08639  Trimebutine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA05 Trimebutine [DG:DG00031],D01500  Trimebutine maleate (JP17)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA06 Rociverine,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA06 Rociverine,D07078  Rociverine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA07 Dicycloverine [DG:DG00032],
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA07 Dicycloverine [DG:DG00032],D07820  Dicycloverine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA07 Dicycloverine [DG:DG00032],D00717  Dicyclomine hydrochloride (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA08 Dihexyverine [DG:DG00033],
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA08 Dihexyverine [DG:DG00033],D07821  Dihexyverine (INN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA08 Dihexyverine [DG:DG00033],D03824  Dihexyverine hydrochloride (USAN)
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA09 Difemerine,
ALIMENTARY TRACT AND METABOLISM,A03 DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA Synthetic anticholinergics, esters with tertiary amino group",A03AA09 Difemerine,D07079  Difemerine (INN)
