brand_name,generic_name
cyclomydril,cyclopentolate/phenylephrine
cyclopentolate hcl,cyclopentolate hcl
cycloset,bromocriptine mesylate
cyclosporine,cyclosporine
cyclosporine,"cyclosporine, modified"
cyclosporine modified,"cyclosporine, modified"
cymbalta,duloxetine hcl
cyproheptadine hcl,cyproheptadine hcl
cystagon,cysteamine bitartrate
cystaran,cysteamine hcl
cystex,methenam/benz ac/salicy/sal-am
cytogam,cytomegalovirus immune globuln
cytra-2,citric acid/sodium citrate
cytra-3,sod/pot/k cit/sod cit/cit acid
cytra-k,potassium citrate/citric acid
d.h.e.45,dihydroergotamine mesylate
daklinza,daclatasvir dihydrochloride
dallergy,chlor-mal/phenyleph/methscop
dallergy pe,chlor-mal/phenyleph/methscop
dalvance,dalbavancin hcl
dantrium,dantrolene sodium
dantrolene sodium,dantrolene sodium
daptacel dtap,"diph,pertuss(acell),tet ped/pf"
darcalma,mth/me blue/sod phos/phen/hyos
darpaz,mth/me blue/sod phos/phen/hyos
dasetta,norethindrone-ethinyl estrad
daysee,l-norgest/e.estradion-e.estrad
ddavp,desmopressin (nonrefrigerated)
ddavp,desmopressin acetate
de-chlor dm,chlorpheniramine/phenyleph/dm
debacterol,sulfuric acid/sulf phenol
deblitane,norethindrone
decavac,tetanus and diphtheria tox/pf
deferoxamine mesylate,deferoxamine mesylate
dehistine,chlor-mal/phenyleph/methscop
delflex with 1.5% dextrose,perit. dialysis#6 & dex 1.5 %
delzicol,mesalamine
demadex,torsemide
demeclocycline hcl,demeclocycline hcl
demerol,meperidine hcl
demerol,meperidine hcl/pf
demser,metyrosine
depacon,valproic acid (as sodium salt)
deplin,levomefolate calcium
deplin-algal oil,levomefolate/algal oil
depo-provera,medroxyprogesterone acetate
depo-subq provera 104,medroxyprogesterone acetate
depocyt,cytarabine liposome/pf
dermacinrx silapak,triamcinolone/dimeth/silicone
dermasilkrx diclopak,diclofenac/capsicum
dermasilkrx sds,triamcinolone/dimeth/silicone
dermasorb hc,hydrocortisone/skin clnsr #35
dermasorb ta,triamcinolone/emollient cmb#86
dermotic,fluocinolone acetonide oil
desferal,deferoxamine mesylate
desferal mesylate,deferoxamine mesylate
desipramine hcl,desipramine hcl
desmopressin acetate,desmopressin (nonrefrigerated)
desmopressin acetate,desmopressin acetate
desogen,desogestrel-ethinyl estradiol
desogestr-eth estrad eth estra,desog-e.estradiol/e.estradiol
desogestrel-ethinyl estradiol,desogestrel-ethinyl estradiol
desoxyn,methamphetamine hcl
desvenlafaxine fumarate er,desvenlafaxine fumarate
detrol,tolterodine tartrate
detrol la,tolterodine tartrate
dex-tuss,guaifenesin/codeine phosphate
dexamethasone sodium phosphate,dexamethasone sod phosphate
dexamethasone sodium phosphate,dexamethasone sodium phosp/pf
dexchlorpheniramine maleate,dexchlorpheniramine maleate
dexedrine,dextroamphetamine sulfate
dexferrum,iron dextran complex
dexmethylphenidate hcl,dexmethylphenidate hcl
dexmethylphenidate hcl er,dexmethylphenidate hcl
dexrazoxane,dexrazoxane hcl
dextroamphetamine-amphet er,dextroamphetamine/amphetamine
dextroamphetamine-amphetamine,dextroamphetamine/amphetamine
dextroamphetamine sulfate,dextroamphetamine sulfate
dextroamphetamine sulfate er,dextroamphetamine sulfate
dextrose 10%-0.45% nacl,dextrose 10 % and 0.45 % nacl
dextrose 2.5%-0.45% nacl,dextrose 2.5 % and 0.45 % nacl
dextrose 5%-0.2% nacl,dextrose 5 %-0.2 % nacl
dextrose 5%-0.2% nacl-kcl,potassium chloride/d5-0.2%nacl
dextrose 5%-0.225% nacl,dextrose 5 %-0.2 % nacl
dextrose 5%-0.225% nacl-kcl,potassium chloride/d5-0.2%nacl
dextrose 5%-0.3% nacl,dextrose 5 % and 0.3 % nacl
dextrose 5%-0.45% nacl,dextrose 5 %-0.45 % nacl
dextrose 5%-0.45% nacl-kcl,potassium chloride/d5-0.45nacl
dextrose 5%-0.9% nacl,dextrose 5 % and 0.9 % nacl
dextrose 5%-1/2ns-kcl,potassium chloride/d5-0.45nacl
dextrose 5%-ns-kcl,potassium chloride/d5-0.9%nacl
dextrose 5%-potassium chloride,potassium chloride in d5w
dextrose in lactated ringers,dextrose 5%-lactated ringers
dextrose in water,dextrose 10 % in water
dextrose in water,dextrose 40 % in water
dextrose in water,dextrose 5 % in water
dextrose in water,dextrose 50 % in water
dextrose in water,dextrose 70 % in water
diabeta,glyburide
dialyvite,"folic acid/vit bcomp,c"
dialyvite 3000,folic acid/b cplx/c/selen/zinc
dialyvite 5000,"multivit, mincmb#11/folic acid"
dialyvite supreme d,"multivitamin, min cmb#25/fa/d3"
dialyvite zinc,vit b cplx #11/fa/c/biot/zn ox
dianeal pd-2 w-1.5% dextrose,periton.dialysis #4-dext 1.5 %
dianeal with 1.5% dextrose,perit. dialysis#6 & dex 1.5 %
dianeal with 2.5% dextrose,periton. dialysis #7-dex 2.5 %
diatx zn,"folic acid/vit bcomp,c/cu/znox"
dibenzyline,phenoxybenzamine hcl
diclofenac potassium,diclofenac potassium
diclofenac sodium,diclofenac sodium
diclofenac sodium-misoprostol,diclofenac sodium/misoprostol
diclofenac sodium er,diclofenac sodium
dicloxacillin sodium,dicloxacillin sodium
dicyclomine hcl,dicyclomine hcl
didrex,benzphetamine hcl
didronel,etidronate disodium
diethylpropion hcl,diethylpropion hcl
diethylpropion hcl er,diethylpropion hcl
difil-g 400,guaifenesin/dyphylline
diflorasone diacetate,diflorasone diacetate
diflucan in saline,"fluconazole in nacl,iso-osm"
dihydro-cp,dihydrocodeine/cpm/pseudoephed
dihydro-pe,phenylephrine/dhcodeine bt/cp
dihydrocodein-acetaminoph-caff,dhcodeine bt/acetaminophn/caff
dihydroergotamine mesylate,dihydroergotamine mesylate
dilacor xr,diltiazem hcl
dilaudid,hydromorphone hcl
dilaudid,hydromorphone hcl/pf
dilaudid-5,hydromorphone hcl
dilaudid-hp,hydromorphone hcl/pf
dilex-g 200,guaifenesin/dyphylline
dilt-cd,diltiazem hcl
dilt-xr,diltiazem hcl
diltia xt,diltiazem hcl
diltiazem 12hr er,diltiazem hcl
diltiazem 24hr cd,diltiazem hcl
diltiazem 24hr er,diltiazem hcl
diltiazem er,diltiazem hcl
diltiazem hcl,diltiazem hcl
diltzac er,diltiazem hcl
dimenhydrinate,dimenhydrinate
diovan hct,valsartan/hydrochlorothiazide
dipentum,olsalazine sodium
diphenhydramine hcl,diphenhydramine hcl
diphenhydramine min-i-jet,diphenhydramine hcl
diphenoxylate-atropine,diphenoxylate hcl/atropine
diphenoxylate w/atropine,diphenoxylate hcl/atropine
diphtheria-tetanus toxoid,"tetanus,diphtheria toxd ped/pf"
diphtheria-tetanus toxoids-ped,"tetanus,diphtheria toxd ped/pf"
diprolene,betamethasone/propylene glyc
diprolene af,betamethasone/propylene glyc
diskets,methadone hcl
disopyramide phosphate,disopyramide phosphate
dobutamine hcl,dobutamine hcl
dobutamine hcl in dextrose,dobutamine hcl/d5w
docosavit,pnv no10/iron fum&p/fa/omega-3
dolgic plus,butalb/acetaminophen/caffeine
dologesic,acetaminophen/phenyltolx
dolophine hcl,methadone hcl
dolorex,acetaminophen/phenyltolx
dolorex,sal-amide/acetaminophn/p-tlox
donatuss dc,phenyleph/dihydrocodeine/guaif
donepezil hcl,donepezil hcl
donepezil hcl odt,donepezil hcl
dopamine hcl,dopamine hcl
dopamine hcl in 5% dextrose,dopamine hcl/d5w
doryx,doxycycline hyclate
dorzolamide-timolol,dorzolamide hcl/timolol maleat
dorzolamide hcl,dorzolamide hcl
dovonex,calcipotriene
doxazosin mesylate,doxazosin mesylate
doxepin hcl,doxepin hcl
doxil,doxorubicin hcl peg-liposomal
doxorubicin hcl,doxorubicin hcl
doxorubicin hcl liposome,doxorubicin hcl peg-liposomal
doxy 100,doxycycline hyclate
doxycycline hyclate,doxycycline hyclate
doxycycline ir-dr,doxycycline monohydrate
doxycycline monohydrate,doxycycline monohydrate
drisdol,ergocalciferol (vitamin d2)
dritho-scalp,anthralin
drithocreme hp,anthralin
drospirenone-ethinyl estradiol,ethinyl estradiol/drospirenone
droxia,hydroxyurea
drysol,aluminum chloride
duac,clindamycin phos/benzoyl perox
duac cs,clindamycin/benzoyl prx/skn #5
dualvit f,fe fumarate/iron ps cplx/fa
dualvit ob,prenatal vits cmb w-o ca no.2
dualvit plus,iron fum&polysac#1/fa/mv no.18
duavee,"estrogens,conj/bazedoxifene"
duet dha 400,pnv106/iron/fa/om3/dha/epa
duet dha balanced,pnv105/iron/fa/omega 3/dha/epa
duet dha balanced,pnv110/iron/fa/omega 3/dha/epa
duet dha balanced,pnv117/iron/fa/om3/dha/epa
duet dha balanced,pnv81/sod iron edta& ps/fa/om3
duetact,pioglitazone hcl/glimepiride
duexis,ibuprofen/famotidine
duleek-met new,mecobal/levomefolat ca/b6 phos
dulera,mometasone/formoterol
duloxetine hcl,duloxetine hcl
duoneb,ipratropium/albuterol sulfate
durabac forte,mg sal/acetaminophn/p-tlox/caf
duramorph,morphine sulfate/pf
duraxin,sal-amide/acetaminophn/p-tlox
dutasteride-tamsulosin,dutasteride/tamsulosin hcl
dutoprol,metoprolol succinate/hctz
dyazide,triamterene/hydrochlorothiazid
dylix,dyphylline
dymista,azelastine/fluticasone
dyphylline gg,guaifenesin/dyphylline
dysport,abobotulinumtoxina
dytuss,diphenhydramine hcl
e.e.s. 200,erythromycin ethylsuccinate
e.e.s. 400,erythromycin ethylsuccinate
easy-touch insulin syringe,"syringe and needle,insulin,1ml"
easy comfort insulin syringe,"syring w-ndl,disp,insul,0.5 ml"
easy comfort insulin syringe,"syringe and needle,insulin,1ml"
easy comfort pen needles,"pen needle, diabetic"
easy touch,"syring w-ndl,disp,insul,0.3 ml"
easy touch,"syring w-ndl,disp,insul,0.5 ml"
easy touch,"syringe and needle,insulin,1ml"
easy touch alcohol prep pads,alcohol antiseptic pads
easy touch insulin safety,"syringe,needle,insuln,safe,1ml"
easy touch insulin safety,"syringe,needle,insuln,sf 0.5ml"
easy touch insulin syringe,"syring w-ndl,disp,insul,0.3 ml"
easy touch insulin syringe,"syring w-ndl,disp,insul,0.5 ml"
easy touch insulin syringe,"syringe and needle,insulin,1ml"
easy touch pen needle,"pen needle, diabetic"
eclipse syringe,"syringe and needle,insulin,1ml"
econazole nitrate,econazole nitrate
ed-chlor-tan,chlorpheniramine tannate
ed-flex,sal-amide/acetaminophn/p-tlox
ed-spaz,hyoscyamine sulfate
ed cyte f,fe fumarate/docusate sodium/fa
edarbyclor,azilsartan med/chlorthalidone
edecrin,ethacrynic acid
edge ob,pv w-o cal/iron ps cplx/fa
edluar,zolpidem tartrate
edurant,rilpivirine hcl
effer-k,potassium bicarbonate/cit ac
effexor,venlafaxine hcl
effexor xr,venlafaxine hcl
effient,prasugrel hcl
egrifta,tesamorelin acetate
eldepryl,selegiline hcl
elenzapatch,lidocaine hcl/menthol
elestat,epinastine hcl
eletone,emollient combination no. 25
eligard,leuprolide acetate
elinest,norgestrel-ethinyl estradiol
elite-ob,"iron,carbonyl/fa/multivit-min"
elite-ob 400,pnv17/iron/fa/fish oil/dha/om
elite ob dha,"pn vit.w-o ca #7, iron,fa,dha"
elixophyllin,theophylline anhydrous
ella,ulipristal acetate
ellence,epirubicin hcl
elocon,mometasone furoate
emadine,emedastine difumarate
embeda,morphine sulfate/naltrexone
emcyt,estramustine phosphate sodium
emla,lidocaine/prilocaine
emoquette,desogestrel-ethinyl estradiol
enablex,darifenacin hydrobromide
enalapril-hydrochlorothiazide,enalapril/hydrochlorothiazide
enalapril maleate,enalapril maleate
enalaprilat,enalaprilat dihydrate
enbrace hr,prenatal #92/iron/fa #8/ps-dha
endacof-c,chlorpheniramine/codeine phos
endocet,oxycodone hcl/acetaminophen
endodan,oxycodone hcl/aspirin
endometrin,"progesterone,micronized"
enfolast,vit b12/lmefolate ca/vit b6/b2
enfolast-n,acetyl/methyl-b12/lmefolate ca
engerix-b,"hepatitis b virus vaccine,recb"
engerix-b,hepatitis b virus vaccine/pf
engerix-b adult,hepatitis b virus vaccine/pf
engerix-b pediatric-adolescent,hepatitis b virus vaccine/pf
enjuvia,"estrogens,conj.,synthetic b"
enlyte,fe/fa/dha/epa/fad/nadh/be/mv47
enoxaparin sodium,enoxaparin sodium
enpresse,levonorgestrel-ethin estradiol
enskyce,desogestrel-ethinyl estradiol
entresto,sacubitril/valsartan
epaned,enalapril maleate
ephedrine sulfate,ephedrine sulfate
epiduo,adapalene/benzoyl peroxide
epiduo forte,adapalene/benzoyl peroxide
epifoam,hydrocortisone/pramoxine
epinastine hcl,epinastine hcl
epirubicin hcl,epirubicin hcl
epogen,epoetin alfa
eprosartan mesylate,eprosartan mesylate
epzicom,abacavir sulfate/lamivudine
ergocalciferol (vitamin d2),ergocalciferol (vitamin d2)
ergomar,ergotamine tartrate
ergotamine-caffeine,ergotamine tartrate/caffeine
errin,norethindrone
ertaczo,sertaconazole nitrate
ery,erythromycin base/ethanol
ery-tab,erythromycin base
erygel,erythromycin base/ethanol
eryped 200,erythromycin ethylsuccinate
eryped 400,erythromycin ethylsuccinate
erythrocin lactobionate,erythromycin lactobionate
erythrocin stearate,erythromycin stearate
erythromycin,erythromycin base
erythromycin,erythromycin base/ethanol
erythromycin-benzoyl peroxide,erythromycin/benzoyl peroxide
erythromycin-sulfisoxazole,ery e-succ/sulfisoxazole
erythromycin ethylsuccinate,erythromycin ethylsuccinate
escavite,pedi multivit #47/iron/fluorid
escitalopram oxalate,escitalopram oxalate
esgic,butalb/acetaminophen/caffeine
esgic-plus,butalb/acetaminophen/caffeine
esomeprazole magnesium,esomeprazole magnesium
esomeprazole sodium,esomeprazole sodium
esomeprazole strontium,esomeprazole strontium
estarylla,norgestimate-ethinyl estradiol
estradiol-norethindrone acetat,estradiol/norethindrone acet
estropipate,estropipate
estrostep fe,norethindrone-e.estradiol-iron
eth-oxydose,oxycodone hcl
ethambutol hcl,ethambutol hcl
etidronate disodium,etidronate disodium
eurax,crotamiton
evekeo,amphetamine sulfate
evista,raloxifene hcl
evoclin,clindamycin phosphate
evotaz,atazanavir sulfate/cobicistat
evoxac,cevimeline hcl
evzio,naloxone hcl
exalgo,hydromorphone hcl
exall,guaifenesin/carbetapentane cit
exel insulin syringe,"syring w-ndl,disp,insul,0.5 ml"
exelderm,sulconazole nitrate
exforge,amlodipine/valsartan
exforge hct,amlodipine/valsartan/hcthiazid
exoderm,sodium thiosulfate/sal acid
extra-virt plus dha,prenatal #57/iron/fa/dss/dha
fabb,cyanocobalamin/fa/pyridoxine
fac-x,multivit-min12/fa/lycopene/lut
factive,gemifloxacin mesylate
falmina,levonorgestrel-ethin estradiol
fareston,toremifene citrate
farxiga,dapagliflozin propanediol
farydak,panobinostat lactate
fe c plus,"iron,carbonyl/vit c/vit b12/fa"
fem ph,acetic acid/oxyquinoline
femcon fe,noreth-ethinyl estradiol/iron
femhrt,norethindrone ac-eth estradiol
fenofibric acid,fenofibric acid
fenofibric acid,fenofibric acid (choline)
fenoprofen calcium,fenoprofen calcium
fentanyl citrate,fentanyl citrate/pf
ferocon,fe fumarate/vit c/b12-if/fa
ferotrin,fe fumarate/vit c/b12-if/fa
ferotrinsic,fe fumarate/vit c/b12-if/fa
ferralet 90,"iron carb,gl/fa/b12/c/docusate"
ferraplus 90,iron/fa/b12/c/docusate sodium
ferrex 150 forte,iron ps cmplx/vit b12/fa
ferrex 150 forte plus,iron aspgly&ps/c/b12/fa/ca/suc
ferrex 28,iron ag&fum/c/fa/mv cmb11/ca-t
ferrlecit,sodium ferric gluconat/sucrose
ferrocite plus,"iron/fa/vit bcomp,c/minerals"
ferrogels forte,iron fumarate/vit c/vit b12/fa
fetrin,ferrous fumarate/vit c/b12-if
fetzima,levomilnacipran hydrochloride
fexmid,cyclobenzaprine hcl
fexofenadine-pse er,fexofenadine/pseudoephedrine
fexofenadine hcl,fexofenadine hcl
fibricor,fenofibric acid
finacea plus,"azelaic acid/ceramide 1,3,6-11"
fioricet,butalb/acetaminophen/caffeine
fioricet with codeine,butalbit/acetamin/caff/codeine
fiorinal,butalbital/aspirin/caffeine
fiorinal with codeine #3,codeine/butalbital/asa/caffein
firazyr,icatibant acetate
firmagon,degarelix acetate
flavoxate hcl,flavoxate hcl
flebogamma dif,imm glob g (igg)/sorb/iga 0-50
flebogamma dif,immun glob g(igg)/sorb/iga 50+
flecainide acetate,flecainide acetate
flector,diclofenac epolamine
flexbumin,albumin human
flexeril,cyclobenzaprine hcl
flextra-650,acetaminophen/phenyltolx
flextra-ds,acetaminophen/phenyltolx
flextra plus,acetaminophen/phenyltolox/caff
flolan,epoprostenol sodium (glycine)
flomax,tamsulosin hcl
flonase,fluticasone propionate
flovent diskus,fluticasone propionate
flovent hfa,fluticasone propionate
fluconazole-nacl,"fluconazole in nacl,iso-osm"
fluconazole in dextrose,"fluconazole in dextrose,iso-os"
fluconazole in saline,"fluconazole in nacl,iso-osm"
fludarabine phosphate,fludarabine phosphate
fludrocortisone acetate,fludrocortisone acetate
fluocinolone acetonide oil,fluocinolone acetonide oil
fluocinonide-e,fluocinonide/emollient base
fluocinonide emollient,fluocinonide/emollient base
fluoridex sensitivity relief,sodium fluoride/potassium nit
fluoxetine dr,fluoxetine hcl
fluoxetine hcl,fluoxetine hcl
fluphenazine decanoate,fluphenazine decanoate
fluphenazine hcl,fluphenazine hcl
flurazepam hcl,flurazepam hcl
fluticasone propionate,fluticasone propionate
fluvastatin er,fluvastatin sodium
fluvastatin sodium,fluvastatin sodium
fluvoxamine maleate,fluvoxamine maleate
fluvoxamine maleate er,fluvoxamine maleate
focalin,dexmethylphenidate hcl
focalin xr,dexmethylphenidate hcl
folast,mecobalamin/l-mefolate/b6 phos
folastin,cyanocobalamin/fa/pyridoxine
folbecal,pnv w-o iron/fa/calcium/b6/b12
folbee,cyanocobalamin/fa/pyridoxine
folbee plus,"folic acid/vit bcomp,c"
folbee plus cz,"folic acid/vit bcomp,c/cu/znox"
folbic,cyanocobalamin/fa/pyridoxine
folbic rf,b12/levomefolate calcium/b-6
folcal dha,pnv39/iron fumarate/fa/dss/dha
folcal dha,pnv66/iron fumarate/fa/dss/dha
folcaps,cyanocobalamin/fa/pyridoxine
folcaps care one,"pnv,ca,no.35/iron/fa/ds/omeg-3"
folcaps omega-3,"pnv ca37/iron cb,asp,bg/fa/om3"
folcaps omega-3,pnv w-ca no.37/iron/fa/omega-3
folgard os,calcium/mag/d3/b12/fa/b6/boron
folgard rx,cyanocobalamin/fa/pyridoxine
folic acid-cyancobal-pyridoxin,cyanocobalamin/fa/pyridoxine
folic acid-vit b6-vit b12,cyanocobalamin/fa/pyridoxine
folinatal plus b,pnv w-o iron/fa/calcium/b6/b12
folitab 500,ferrous sulfate/vit c/fa
folivane-f,iron fum & ps cmp/fa/vit c/b3
folivane-ob,"pnv #15/iron fum,ps/folic acid"
folivane-plus,"iron fum,ps/fa/vit b with c #9"
folivane-prx dha nf,pnv39/iron fumarate/fa/dss/dha
folplex 2.2,cyanocobalamin/fa/pyridoxine
foltabs,pnv no.22/iron cbn&gluc/fa/dss
foltanx,mecobal/levomefolat ca/b6 phos
foltanx rf,levomefolate/b6/b12/algal oil
foltrate,cyanocobalamin/folic acid
foltrin,fe fumarate/vit c/b12-if/fa
foltx,b12/levomefolate calcium/b-6
foltx,cyanocobalamin/fa/pyridoxine
fondaparinux sodium,fondaparinux sodium
foradil,formoterol fumarate
forfivo xl,bupropion hcl
formula b plus,"multivits,therap w-fe,hematin"
fortamet,metformin hcl
fortaz in iso-osmotic dextrose,"ceftazidime na/dextrose,iso"
fortical,"calcitonin,salmon,synthetic"
fosamax,alendronate sodium
fosamax plus d,alendronate sodium/vitamin d3
foscarnet sodium,foscarnet sodium
foscavir,foscarnet sodium
fosinopril-hydrochlorothiazide,fosinopril/hydrochlorothiazide
fosinopril sodium,fosinopril sodium
fosphenytoin sodium,fosphenytoin sodium
fosteum,genistein/cit zn bisgly/vit d3
fragmin,"dalteparin sodium,porcine"
freamine iii,parenteral amino acid 10% no.4
freamine iii,parenteral amino acid 8.5 % #1
freestyle precision,"syring w-ndl,disp,insul,0.5 ml"
freestyle precision,"syringe and needle,insulin,1ml"
freshkote,eye lubricant combination no.1
frova,frovatriptan succinate
fulyzaq,crofelemer
fumatinic,ferrous fumarate/vit c/b12-if
fusilev,levoleucovorin calcium
fusion plus,"iron,fum&ps/fa/vit b&c#18/l.ca"
gabitril,tiagabine hcl
galantamine hbr,galantamine hbr
galantamine hydrobromide,galantamine hbr
gamastan s-d,immune globul g (igg)/glycine
gammagard liquid,immun glob g (igg)/gly/iga 50+
gammagard s-d,immun glob g/gly/gluc/iga 0-50
gammaked,immun glob g (igg)/gly/iga 50+
gammaplex,immun glob g/sorb/gly/iga 0-50
gamunex,immun glob g (igg)/gly/iga 50+
gamunex-c,immun glob g (igg)/gly/iga 50+
gani-tuss-dm nr,guaifenesin/dextromethorphan
gani-tuss nr,guaifenesin/codeine phosphate
garamycin,gentamicin sulfate
gardasil,"human papilomvirus vac,qval/pf"
gardasil 9,hpv vaccine 9-valent/pf
gastrinex nf,hyoscyamine sulfate/phenyltolx
gastrocrom,cromolyn sodium
gauze bandage,gauze bandage
gauze pads,gauze bandage
gavilyte-c,"peg 3350/na sulf,bicarb,cl/kcl"
gavilyte-g,"peg 3350/na sulf,bicarb,cl/kcl"
gavilyte-h and bisacodyl,bisac/nacl/nahco3/kcl/peg 3350
gavilyte-n,sodium chloride/nahco3/kcl/peg
gelclair,pot sor/hy-ethylcel/pvp/hyalur
gemcitabine hcl,gemcitabine hcl
gemzar,gemcitabine hcl
genadur,carbit/equis xt/ethan/chit/msm
generess fe,noreth-ethinyl estradiol/iron
gengraf,"cyclosporine, modified"
gentak,gentamicin sulfate
gentamicin sulfate,gentamicin sulfate
gentamicin sulfate,gentamicin sulfate/pf
gentamicin sulfate in ns,"gentamicin in nacl, iso-osm"
genvoya,elviteg/cobi/emtric/tenofo ala
geodon,ziprasidone hcl
geodon,ziprasidone mesylate
gesticare dha,"pnv with ca,no.60/iron/fa/dha"
gianvi,ethinyl estradiol/drospirenone
giazo,balsalazide disodium
gildagia,norethindrone-ethinyl estrad
gildess,norethindrone ac-eth estradiol
gildess 24 fe,norethindrone-e.estradiol-iron
gildess fe,norethindrone-e.estradiol-iron
gilenya,fingolimod hcl
gilotrif,afatinib dimaleate
gilphex tr,guaifenesin/phenylephrine hcl
glassia,alpha-1-proteinase inhibitor
gleevec,imatinib mesylate
glipizide-metformin,glipizide/metformin hcl
glucagen,"glucagon,human recombinant"
glucagon emergency kit,"glucagon,human recombinant"
glucophage,metformin hcl
glucophage xr,metformin hcl
glucopro,"syring w-ndl,disp,insul,0.3 ml"
glucopro,"syring w-ndl,disp,insul,0.5 ml"
glucopro,"syringe and needle,insulin,1ml"
glucopro,alcohol antiseptic pads
glucose,dextrose
glucovance,glyburide/metformin hcl
glumetza,metformin hcl
glutose 15,dextrose
glyburide,glyburide
glyburide-metformin hcl,glyburide/metformin hcl
glyburide micronized,"glyburide,micronized"
glycolax,polyethylene glycol 3350
glycopyrrolate,glycopyrrolate
glydo,lidocaine hcl
glynase,"glyburide,micronized"
glyxambi,empagliflozin/linagliptin
golytely,"peg 3350/na sulf,bicarb,cl/kcl"
granisetron hcl,granisetron hcl
granisetron hcl,granisetron hcl/pf
granisol,granisetron hcl
granix,tbo-filgrastim
grastek,"grass pollen-timothy, standard"
grifulvin v,"griseofulvin, microsize"
gris-peg,griseofulvin ultramicrosize
griseofulvin,"griseofulvin, microsize"
griseofulvin ultramicrosize,griseofulvin ultramicrosize
guaifenesin-codeine,guaifenesin/codeine phosphate
guaifenesin ac,guaifenesin/codeine phosphate
guaifenesin dac,p-ephed hcl/codeine/guaifen
guanabenz acetate,guanabenz acetate
guanfacine hcl,guanfacine hcl
guanfacine hcl er,guanfacine hcl
guanidine hcl,guanidine hcl
gynazole-1,butoconazole nitrate
gynazole 1,butoconazole nitrate
halac,halobetasol/ammonium lactate
halaven,eribulin mesylate
halflytely-bisacodyl,bisac/nacl/nahco3/kcl/peg 3350
halflytely with flavor packs,bisac/nacl/nahco3/kcl/peg 3350
halobetasol propionate,halobetasol propionate
halonate,halobetasol/ammonium lactate
halonate pac,halobetasol/ammonium lactate
harvoni,ledipasvir/sofosbuvir
havrix,hepatitis a virus vaccine/pf
healthy accents unifine pentip,"pen needle, diabetic"
healthy accents unifine pentip,"pen needle, diabetic, safety"
heather,norethindrone
helidac,bismuth sal/metronid/tetracyc
hematinic plus,"iron/fa/vit bcomp,c/minerals"
hematinic with folic acid,ferrous fumarate/folic acid
hematogen,fe fumarate/vit c/b12/stomc
hematogen fa,iron fumarate/vit c/vit b12/fa
hematogen forte,iron fumarate/vit c/vit b12/fa
hematron-af,"iron,carb/dss/b12if/fa/mv-mn"
hemax,"iron,carb/dss/b12if/fa/mv-mn"
hemenatal ob,pnv#21/iron ps& heme polyp/fa
hemenatal ob + dha,pnv combo #22/iron/fa/om3/dha
hemetab,iron polysac/iron heme/fa/b12
hemocyte-f,ferrous fumarate/folic acid
hemocyte plus,"fe fumarate/fa/mv, min comb#15"
hepagam b,hepatitis b immun glob/maltose
heparin sodium,"heparin sodium,porcine"
heparin sodium,"heparin sodium,porcine/pf"
heparin sodium-d5w,"heparin sodium,porcine/d5w"
heparin sodium in 0.45% nacl,"heparin sod,pork in 0.45% nacl"
hepatamine,amino acids 8 %
hepatasol,amino acids 8 %
hiberix,hib conj-tet tox(15mos-4yr)/pf
hiprex,methenamine hippurate
hizentra,immun glob g(igg)/pro/iga 0-50
homatropaire,homatropine hbr
homatropine,homatropine hbr
homatropine hydrobromide,homatropine hbr
horizant,gabapentin enacarbil
humalog mix 50-50,insulin lispro protamin/lispro
humalog mix 50-50 kwikpen,insulin lispro protamin/lispro
humalog mix 75-25,insulin lispro protamin/lispro
humalog mix 75-25 kwikpen,insulin lispro protamin/lispro
humapen luxura hd,insulin admin. supplies
humapen memoir,insulin admin. supplies
humulin 50-50,insulin nph hum/reg insulin hm
humulin 70-30,insulin nph hum/reg insulin hm
humulin 70/30 kwikpen,insulin nph hum/reg insulin hm
humulin n,insulin nph human isophane
humulin n kwikpen,insulin nph human isophane
humulin r,"insulin regular, human"
humulin r u-500,"insulin regular, human"
hycamtin,topotecan hcl
hycet,hydrocodone/acetaminophen
hydralazine hcl,hydralazine hcl
hydrea,hydroxyurea
hydro 35,urea
hydro 40,urea
hydrocodone-acetaminophen,hydrocodone/acetaminophen
hydrocodone-chlorpheniramne er,hydrocodone/chlorphen p-stirex
hydrocodone-homatropine mbr,hydrocodone bit/homatrop me-br
hydrocodone-ibuprofen,hydrocodone/ibuprofen
hydrocodone bit-ibuprofen,hydrocodone/ibuprofen
hydrocodone bt-homatropine mbr,hydrocodone bit/homatrop me-br
hydrocortisone-acetic acid,acetic acid/hydrocortisone
hydrocortisone acetate,hydrocortisone acetate/aloe v
hydrogesic,hydrocodone/acetaminophen
hydromet,hydrocodone bit/homatrop me-br
hydromorphone er,hydromorphone hcl
hydromorphone hcl,hydromorphone hcl
hydromorphone hcl,hydromorphone hcl/pf
hydroxychloroquine sulfate,hydroxychloroquine sulfate
hydroxyurea,hydroxyurea
hydroxyzine hcl,hydroxyzine hcl
hydroxyzine pamoate,hydroxyzine pamoate
hyomax,hyoscyamine sulfate
hyomax-dt,hyoscyamine sulfate
hyomax-ft,hyoscyamine sulfate
hyomax-sl,hyoscyamine sulfate
hyomax-sr,hyoscyamine sulfate
hyophen,methenam/me blue/ba/salicy/hyo
hyoscyamine sulfate,hyoscyamine sulfate
hyoscyamine sulfate er,hyoscyamine sulfate
hyosyne,hyoscyamine sulfate
hyper-sal,sodium chloride for inhalation
hypercare,aluminum chloride
