brand_name,generic_name
synalar,fluocinolone/emol cmb#65
derma-smoothe-fs,fluocinolone/shower cap
fluocinolone acetonide,fluocinolone/shower cap
fluocinonide,fluocinonide
vanos,fluocinonide
alprazolam intensol,alprazolam
fluor-op,fluorometholone
fluorometholone,fluorometholone
fml,fluorometholone
fml forte,fluorometholone
fml s.o.p.,fluorometholone
adrucil,fluorouracil
carac,fluorouracil
efudex,fluorouracil
fluoroplex,fluorouracil
alprazolam odt,alprazolam
fluorouracil,fluorouracil
tolak,fluorouracil
androxy,fluoxymesterone
alprazolam xr,alprazolam
flurbiprofen,flurbiprofen
flutamide,flutamide
arnuity ellipta,fluticasone furoate
veramyst,fluticasone furoate
niravam,alprazolam
xanax,alprazolam
duleek-dp 15,folic acid
duleek-dp 7.5,folic acid
folic acid,folic acid
xanax xr,alprazolam
emend,fosaprepitant dimeglumine
alprostadil,alprostadil
faslodex,fulvestrant
furosemide,furosemide
caverject,alprostadil
lasix,furosemide
gabapentin,gabapentin
gralise,gabapentin
neurontin,gabapentin
naglazyme,galsulfase
edex,alprostadil
zirgan,ganciclovir
gatifloxacin,gatifloxacin
zymar,gatifloxacin
zymaxid,gatifloxacin
muse,alprostadil
iressa,gefitinib
gemfibrozil,gemfibrozil
lopid,gemfibrozil
prostin vr pediatric,alprostadil
copaxone,glatiramer acetate
glatopa,glatiramer acetate
amaryl,glimepiride
hexalen,altretamine
glimepiride,glimepiride
glipizide,glipizide
glipizide er,glipizide
glipizide xl,glipizide
glucotrol,glipizide
glucotrol xl,glipizide
ravicti,glycerol phenylbutyrate
simponi,golimumab
simponi aria,golimumab
sancuso,granisetron
guaifenesin,guaifenesin
letairis,ambrisentan
halog,halcinonide
amcinonide,amcinonide
haloperidol,haloperidol
haloperidol,haloperidol lactate
hydrocortisone,"hc/mineral oil/petrolat,wht"
phisohex,hexachlorophene
hydrochlorothiazide,hydrochlorothiazide
microzide,hydrochlorothiazide
orencia,abatacept
ala-cort,hydrocortisone
ala-scalp,hydrocortisone
anusol-hc,hydrocortisone
colocort,hydrocortisone
cortef,hydrocortisone
cortenema,hydrocortisone
hydrocortisone,hydrocortisone
procto-kit,hydrocortisone
procto-pak,hydrocortisone
proctocort,hydrocortisone
proctocream-hc,hydrocortisone
proctosol-hc,hydrocortisone
proctozone-hc,hydrocortisone
scalacort,hydrocortisone
texacort,hydrocortisone
hydrocortisone butyrate,hydrocortisone butyrate
locoid,hydrocortisone butyrate
hydrocortisone butyrate,hydrocortisone butyrate/emoll
hydroquinone,hydroquinone
melquin-3,hydroquinone
melquin hp,hydroquinone
hydroquinone,hydroquinone microspheres
hydroxocobalamin,hydroxocobalamin
amicar,aminocaproic acid
aminocaproic acid,aminocaproic acid
imbruvica,ibrutinib
ibuprofen,ibuprofen
zydelig,idelalisib
orencia,abatacept/maltose
elaprase,idursulfase
ifosfamide,ifosfamide
fanapt,iloperidone
cerezyme,imiglucerase
aminophylline,aminophylline
aldara,imiquimod
imiquimod,imiquimod
zyclara,imiquimod
paser,aminosalicylic acid
indapamide,indapamide
remicade,infliximab
picato,ingenol mebutate
novolog,insulin aspart
novolog flexpen,insulin aspart
tresiba flextouch u-100,insulin degludec
tresiba flextouch u-200,insulin degludec
levemir,insulin detemir
levemir flexpen,insulin detemir
levemir flextouch,insulin detemir
apidra,insulin glulisine
apidra solostar,insulin glulisine
humalog,insulin lispro
humalog kwikpen u-100,insulin lispro
humalog kwikpen u-200,insulin lispro
infergen,interferon alfacon-1
avonex,interferon beta-1a
avonex pen,interferon beta-1a
betaseron,interferon beta-1b
extavia,interferon beta-1b
aphthasol,amlexanox
yervoy,ipilimumab
atrovent,ipratropium bromide
atrovent hfa,ipratropium bromide
ipratropium bromide,ipratropium bromide
abstral,fentanyl citrate
acetazolamide sodium,acetazolamide sodium
actiq,fentanyl citrate
alsuma,sumatriptan succinate
anaprox,naproxen sodium
anaprox ds,naproxen sodium
anucort-hc,hydrocortisone acetate
aristada,aripiprazole lauroxil
aveed,testosterone undecanoate
bactroban nasal,mupirocin calcium
beta-val,betamethasone valerate
betamethasone dipropionate,betamethasone dipropionate
betamethasone valerate,betamethasone valerate
cayston,aztreonam lysine
chlorothiazide sodium,chlorothiazide sodium
coreg cr,carvedilol phosphate
cortifoam,hydrocortisone acetate
cytovene,ganciclovir sodium
delatestryl,testosterone enanthate
delestrogen,estradiol valerate
depakote,divalproex sodium
depakote er,divalproex sodium
depakote sprinkle,divalproex sodium
depo-estradiol,estradiol cypionate
depo-medrol,methylprednisolone acetate
depo-testosterone,testosterone cypionate
ditropan xl,oxybutynin chloride
divalproex sodium,divalproex sodium
divalproex sodium er,divalproex sodium
estradiol valerate,estradiol valerate
etopophos,etoposide phosphate
femring,estradiol acetate
femtrace,estradiol acetate
fentanyl citrate,fentanyl citrate
fentora,fentanyl citrate
flarex,fluorometholone acetate
flurbiprofen sodium,flurbiprofen sodium
ganciclovir sodium,ganciclovir sodium
haldol,haloperidol lactate
haldol decanoate 100,haloperidol decanoate
haldol decanoate 50,haloperidol decanoate
haloperidol decanoate,haloperidol decanoate
haloperidol decanoate 100,haloperidol decanoate
haloperidol lactate,haloperidol lactate
hydrocortisone acetate,hydrocortisone acetate
hydrocortisone valerate,hydrocortisone valerate
invega sustenna,paliperidone palmitate
invega trinza,paliperidone palmitate
isopto hyoscine,scopolamine hydrobromide
istalol,timolol maleate
lazanda,fentanyl citrate
luxiq,betamethasone valerate
methylprednisolone acetate,methylprednisolone acetate
miconazole 3,miconazole nitrate
naprelan,naproxen sodium
naprelan cr dose card,naproxen sodium
naproxen sodium,naproxen sodium
naproxen sodium cr,naproxen sodium
naproxen sodium er,naproxen sodium
ocufen,flurbiprofen sodium
omnipred,prednisolone acetate
onsolis,fentanyl citrate
oxybutynin chloride,oxybutynin chloride
oxybutynin chloride er,oxybutynin chloride
pandel,hydrocortisone probutate
phenobarbital sodium,phenobarbital sodium
phenytoin sodium,phenytoin sodium
pred forte,prednisolone acetate
pred mild,prednisolone acetate
prednisolone acetate,prednisolone acetate
pristiq er,desvenlafaxine succinate
prochlorperazine edisylate,prochlorperazine edisylate
scopace,scopolamine hydrobromide
scopolamine hydrobromide,scopolamine hydrobromide
sumatriptan succinate,sumatriptan succinate
sumavel dosepro,sumatriptan succinate
testosterone cypionate,testosterone cypionate
testosterone enanthate,testosterone enanthate
timolol maleate,timolol maleate
timoptic,timolol maleate
timoptic-xe,timolol maleate
tobramycin sulfate,tobramycin sulfate
westcort,hydrocortisone valerate
zyprexa relprevv,olanzapine pamoate
